ell,auth,enc,trapdoor,test
1,0.002674412727355957,1.5497207641601562e-05,1.56402587890625e-05,0.007292747497558594
2,0.002704286575317383,2.0766258239746092e-05,1.4185905456542969e-05,0.007382535934448242
3,0.002617216110229492,1.983642578125e-05,1.704692840576172e-05,0.007190299034118652
4,0.0026354074478149416,2.1147727966308594e-05,2.2959709167480468e-05,0.007266330718994141
5,0.0026714086532592775,4.08172607421875e-05,1.685619354248047e-05,0.007304239273071289
6,0.002775239944458008,2.4247169494628907e-05,2.2172927856445312e-05,0.007408714294433594
7,0.002723097801208496,2.033710479736328e-05,1.9168853759765626e-05,0.007579445838928223
8,0.0026676177978515623,1.990795135498047e-05,3.399848937988281e-05,0.00735321044921875
9,0.0026933431625366213,2.6488304138183592e-05,2.322196960449219e-05,0.007252812385559082
10,0.002669358253479004,2.0289421081542967e-05,2.3984909057617186e-05,0.007272791862487793
11,0.0025269269943237306,1.895427703857422e-05,2.5200843811035157e-05,0.007316994667053223
12,0.0027530431747436524,3.4332275390625e-05,2.6154518127441407e-05,0.007520866394042969
13,0.0026970863342285155,2.2220611572265626e-05,2.55584716796875e-05,0.007424497604370117
14,0.002676081657409668,2.1266937255859376e-05,2.5010108947753908e-05,0.007399845123291016
15,0.002714991569519043,2.25067138671875e-05,2.899169921875e-05,0.007409310340881348
16,0.002747368812561035,2.3627281188964842e-05,3.163814544677734e-05,0.0078026771545410155
17,0.002715182304382324,3.259181976318359e-05,3.936290740966797e-05,0.007273197174072266
18,0.002565908432006836,2.300739288330078e-05,2.8371810913085938e-05,0.007373785972595215
19,0.0026590108871459963,2.810955047607422e-05,3.1328201293945314e-05,0.00720984935760498
20,0.0027452707290649414,3.2019615173339846e-05,2.9850006103515626e-05,0.007499814033508301
21,0.0025867462158203126,2.4843215942382813e-05,3.9577484130859375e-05,0.007355976104736328
22,0.0027317047119140626,3.421306610107422e-05,3.843307495117187e-05,0.007154726982116699
23,0.0027311563491821287,3.5309791564941405e-05,3.5691261291503904e-05,0.0074563264846801754
24,0.002623844146728516,4.0149688720703126e-05,3.3402442932128905e-05,0.007319140434265137
25,0.0026814937591552734,3.840923309326172e-05,5.049705505371094e-05,0.007206249237060547
